standardization,num_features,reg_param,max_iter,f1_score
True,2000,0.001,10,0.591754679487935
True,2000,0.01,10,0.5901079139747963
True,2000,0.001,50,0.5686292156642339
True,2000,0.01,50,0.5651292008675459
True,2000,0.1,10,0.5613245984098292
True,500,0.001,10,0.5558442092466098
True,500,0.001,50,0.5554888669819886
True,500,0.01,10,0.5551820346717168
True,500,0.01,50,0.5487081846199435
True,2000,0.1,50,0.5449452613927853
True,500,0.1,10,0.535852015825853
True,500,0.1,50,0.5314916250515939
False,500,0.001,10,0.490119687530196
False,500,0.001,50,0.4845373704008495
False,2000,0.001,10,0.46671295477954855
False,2000,0.001,50,0.45781035233090567
False,2000,0.01,50,0.44603986839381143
False,2000,0.01,10,0.44603986839381143
False,2000,0.1,50,0.44603986839381143
False,2000,0.1,10,0.44603986839381143
False,500,0.1,50,0.44603986839381143
False,500,0.1,10,0.44603986839381143
False,500,0.01,50,0.44603986839381143
False,500,0.01,10,0.44603986839381143
